ORDER_ID|CUSTOMER_ID|PRODUCT_ID|ORDER_DATE|SHIP_DATE|QUANTITY|UNIT_PRICE|DISCOUNT|TAX|NET_AMOUNT|STATUS|PAYMENT_MODE|CITY|STATE|COUNTRY
19|10038|20|2026-07-01|2026-07-03|3|70.41|49.8|12.67|211.23|SHIPPED|CARD|Hyderabad|TS|India
20|10138|25|2026-07-01|2026-07-03|4|449.27|22.68|80.87|1797.08|SHIPPED|CASH|Chennai|TS|India
21|10760|47|2026-07-01|2026-07-03|9|238.61|7.73|42.95|2147.49|SHIPPED|UPI|Chennai|TS|India
22|10630|27|2026-07-01|2026-07-03|2|425.16|46.95|76.53|850.32|SHIPPED|UPI|Hyderabad|TS|India
23|10455|16|2026-07-01|2026-07-03|6|147.77|42.77|26.6|886.62|SHIPPED|CARD|Chennai|TS|India
24|10660|23|2026-07-01|2026-07-03|6|295.01|3.03|53.1|1770.06|SHIPPED|UPI|Hyderabad|TS|India
25|10843|30|2026-07-01|2026-07-03|2|477.05|4.58|85.87|1054.1|SHIPPED|CARD|Chennai|TS|India
26|10051|22|2026-07-01|2026-07-03|10|486.99|12.18|87.66|4869.9|SHIPPED|CARD|Chennai|TS|India
27|10783|36|2026-07-01|2026-07-03|4|80.87|10.36|14.56|323.48|SHIPPED|CARD|Hyderabad|TS|India
28|10807|39|2026-07-01|2026-07-03|6|398.47|0.14|71.72|2390.82|SHIPPED|CARD|Hyderabad|TS|India
29|10178|8|2026-07-01|2026-07-03|9|162.79|33.05|29.3|1465.11|SHIPPED|CARD|Hyderabad|TS|India
30|10807|16|2026-07-01|2026-07-03|1|211.21|29.44|38.02|211.21|SHIPPED|CARD|Hyderabad|TS|India
31|10759|27|2026-07-01|2026-07-03|5|73.58|26.3|13.24|367.9|SHIPPED|CASH|Hyderabad|TS|India
32|10370|33|2026-07-01|2026-07-03|8|251.72|29.68|45.31|2013.76|SHIPPED|UPI|Chennai|TS|India
33|10044|47|2026-07-01|2026-07-03|4|475.44|39.16|85.58|1901.76|SHIPPED|CASH|Chennai|TS|India
34|10987|2|2026-07-01|2026-07-03|5|256.12|3.04|46.1|1280.6|SHIPPED|UPI|Pune|TS|India
35|10502|46|2026-07-01|2026-07-03|7|358.74|45.49|64.57|2611.18|SHIPPED|CARD|Hyderabad|TS|India
36|10067|9|2026-07-01|2026-07-03|6|323.73|13.75|58.27|1942.38|SHIPPED|CASH|Chennai|TS|India
37|10390|39|2026-07-01|2026-07-03|9|370.47|26.53|66.68|3334.23|SHIPPED|UPI|Chennai|TS|India
38|10812|45|2026-07-01|2026-07-03|10|243.59|5.72|43.85|2435.9|SHIPPED|CASH|Chennai|TS|India
39|10220|28|2026-07-01|2026-07-03|9|374.38|22.58|67.39|3369.42|SHIPPED|CARD|Pune|TS|India
40|10408|27|2026-07-01|2026-07-03|6|422.34|36.48|76.02|2534.04|SHIPPED|UPI|Pune|TS|India
41|10383|10|2026-07-01|2026-07-03|6|349.3|34.34|62.87|2095.8|SHIPPED|UPI|Hyderabad|TS|India
42|10095|28|2026-07-01|2026-07-03|2|424.3|4.83|76.37|848.6|SHIPPED|CASH|Pune|TS|India
43|10600|36|2026-07-01|2026-07-03|3|300.37|28.08|54.07|901.11|SHIPPED|CASH|Hyderabad|TS|India
44|10681|49|2026-07-01|2026-07-03|7|209.12|21.15|37.64|1463.84|SHIPPED|CASH|Hyderabad|TS|India
45|10360|7|2026-07-01|2026-07-03|5|320.18|28.9|57.63|1700.9|SHIPPED|CARD|Hyderabad|TS|India
46|10110|23|2026-07-01|2026-07-03|8|150.91|42.27|27.16|1207.28|SHIPPED|UPI|Hyderabad|TS|India
47|10826|28|2026-07-01|2026-07-03|5|308.35|42.26|55.5|1541.75|SHIPPED|CASH|Chennai|TS|India
48|10951|43|2026-07-01|2026-07-03|9|61.81|41.47|11.13|556.29|SHIPPED|UPI|Hyderabad|TS|India
49|10780|20|2026-07-01|2026-07-03|3|172.97|46.08|31.13|518.91|SHIPPED|UPI|Hyderabad|TS|India
50|10579|43|2026-07-01|2026-07-03|3|441.44|20.04|79.46|1324.32|SHIPPED|CARD|Chennai|TS|India
51|10543|14|2026-07-01|2026-07-03|1|91.29|18.81|16.43|91.29|SHIPPED|UPI|Pune|TS|India
52|10738|21|2026-07-01|2026-07-03|3|216.52|38.84|38.97|649.56|SHIPPED|CASH|Chennai|TS|India
53|10159|11|2026-07-01|2026-07-03|2|447.5|37.72|80.55|895.0|SHIPPED|CARD|Chennai|TS|India
54|10677|28|2026-07-01|2026-07-03|2|172.45|24.28|31.04|344.9|SHIPPED|UPI|Pune|TS|India
55|10524|8|2026-07-01|2026-07-03|5|147.01|17.26|26.46|835.05|SHIPPED|CARD|Pune|TS|India
56|10683|20|2026-07-01|2026-07-03|10|268.98|2.27|48.42|2689.8|SHIPPED|UPI|Chennai|TS|India
57|10308|14|2026-07-01|2026-07-03|1|53.46|38.37|9.62|53.46|SHIPPED|UPI|Pune|TS|India
58|10509|48|2026-07-01|2026-07-03|6|103.99|21.53|18.72|623.94|SHIPPED|CARD|Pune|TS|India
59|10512|36|2026-07-01|2026-07-03|9|366.65|41.67|66.0|3299.85|SHIPPED|UPI|Hyderabad|TS|India
60|10043|28|2026-07-01|2026-07-03|7|437.79|0.94|78.8|3064.53|SHIPPED|CARD|Pune|TS|India
61|10414|46|2026-07-01|2026-07-03|10|243.18|32.01|43.77|2431.8|SHIPPED|UPI|Hyderabad|TS|India
62|10332|11|2026-07-01|2026-07-03|7|59.39|40.07|10.69|415.73|SHIPPED|CASH|Pune|TS|India
63|10864|7|2026-07-01|2026-07-03|6|89.66|12.17|16.14|537.96|SHIPPED|CASH|Pune|TS|India
64|10891|20|2026-07-01|2026-07-03|9|85.39|37.29|15.37|768.51|SHIPPED|CARD|Pune|TS|India
65|10648|8|2026-07-01|2026-07-03|3|84.37|26.53|15.19|353.11|SHIPPED|CARD|Pune|TS|India
66|10838|42|2026-07-01|2026-07-03|6|377.32|40.75|67.92|2263.92|SHIPPED|CARD|Hyderabad|TS|India
67|10177|39|2026-07-01|2026-07-03|3|165.19|7.64|29.73|495.57|SHIPPED|CASH|Hyderabad|TS|India
68|10643|32|2026-07-01|2026-07-03|3|478.08|23.2|86.05|1434.24|SHIPPED|CASH|Chennai|TS|India
69|10903|37|2026-07-01|2026-07-03|8|356.51|32.15|64.17|2852.08|SHIPPED|CASH|Pune|TS|India
70|10069|31|2026-07-01|2026-07-03|6|117.93|22.11|21.23|707.58|SHIPPED|UPI|Pune|TS|India
71|10519|5|2026-07-01|2026-07-03|10|75.28|15.52|13.55|752.8|SHIPPED|UPI|Hyderabad|TS|India
72|10293|5|2026-07-01|2026-07-03|1|215.93|32.23|38.87|215.93|SHIPPED|CARD|Chennai|TS|India
73|10473|38|2026-07-01|2026-07-03|10|278.18|27.72|50.07|2781.8|SHIPPED|CASH|Hyderabad|TS|India
74|10585|42|2026-07-01|2026-07-03|8|459.07|9.41|82.63|3672.56|SHIPPED|CASH|Pune|TS|India
75|10063|29|2026-07-01|2026-07-03|9|117.89|5.18|21.22|1161.01|SHIPPED|UPI|Chennai|TS|India
76|10176|3|2026-07-01|2026-07-03|2|277.05|12.39|49.87|554.1|SHIPPED|UPI|Pune|TS|India
77|10162|24|2026-07-01|2026-07-03|9|285.24|18.64|51.34|2567.16|SHIPPED|UPI|Pune|TS|India
78|10695|39|2026-07-01|2026-07-03|7|398.51|2.62|71.73|2789.57|SHIPPED|CASH|Chennai|TS|India
79|10096|36|2026-07-01|2026-07-03|6|79.66|33.92|14.34|477.96|SHIPPED|UPI|Pune|TS|India
80|10341|6|2026-07-01|2026-07-03|10|442.98|29.14|79.74|4429.8|SHIPPED|CARD|Pune|TS|India
81|10715|43|2026-07-01|2026-07-03|5|485.46|19.6|87.38|2427.3|SHIPPED|CASH|Chennai|TS|India
82|10385|42|2026-07-01|2026-07-03|2|189.31|39.58|34.08|378.62|SHIPPED|CARD|Chennai|TS|India
83|10686|28|2026-07-01|2026-07-03|9|92.05|25.42|16.57|828.45|SHIPPED|CARD|Pune|TS|India
84|10219|22|2026-07-01|2026-07-03|5|131.12|47.38|23.6|655.6|SHIPPED|UPI|Hyderabad|TS|India
85|10158|5|2026-07-01|2026-07-03|4|499.99|14.79|90.0|2099.96|SHIPPED|CARD|Chennai|TS|India
86|10904|34|2026-07-01|2026-07-03|9|425.8|1.89|76.64|3832.2|SHIPPED|UPI|Chennai|TS|India
87|10157|11|2026-07-01|2026-07-03|3|318.76|9.04|57.38|956.28|SHIPPED|CASH|Chennai|TS|India
88|10044|27|2026-07-01|2026-07-03|3|374.53|18.21|67.42|1123.59|SHIPPED|CASH|Hyderabad|TS|India
89|10770|48|2026-07-01|2026-07-03|8|324.77|39.19|58.46|2598.16|SHIPPED|CARD|Chennai|TS|India
90|10828|31|2026-07-01|2026-07-03|4|189.26|45.2|34.07|757.04|SHIPPED|CARD|Pune|TS|India
91|10472|50|2026-07-01|2026-07-03|10|493.0|14.09|88.74|4930.0|SHIPPED|UPI|Chennai|TS|India
92|10165|13|2026-07-01|2026-07-03|9|238.4|40.06|42.91|2145.6|SHIPPED|CARD|Pune|TS|India
93|10895|24|2026-07-01|2026-07-03|1|338.53|27.73|60.94|338.53|SHIPPED|CARD|Chennai|TS|India
94|10291|6|2026-07-01|2026-07-03|9|433.02|38.16|77.94|3897.18|SHIPPED|UPI|Pune|TS|India
95|10447|6|2026-07-01|2026-07-03|9|116.31|47.32|20.94|1146.79|SHIPPED|CARD|Pune|TS|India
96|10424|4|2026-07-01|2026-07-03|6|468.71|19.82|84.37|2812.26|SHIPPED|UPI|Hyderabad|TS|India
97|10383|15|2026-07-01|2026-07-03|7|497.54|1.41|89.56|3482.78|SHIPPED|CARD|Chennai|TS|India
98|10140|3|2026-07-01|2026-07-03|6|406.12|14.34|73.1|2436.72|SHIPPED|UPI|Chennai|TS|India
99|10480|29|2026-07-01|2026-07-03|3|391.48|30.77|70.47|1174.44|SHIPPED|CARD|Hyderabad|TS|India
100|10153|36|2026-07-01|2026-07-03|5|147.04|47.01|26.47|735.2|SHIPPED|CASH|Chennai|TS|India
101|10295|16|2026-07-01|2026-07-03|7|100.03|15.06|18.01|700.21|SHIPPED|CARD|Hyderabad|TS|India
102|10637|30|2026-07-01|2026-07-03|7|337.53|3.14|60.76|2362.71|SHIPPED|UPI|Chennai|TS|India
103|10527|37|2026-07-01|2026-07-03|9|57.4|12.1|10.33|516.6|SHIPPED|CARD|Pune|TS|India
104|10361|16|2026-07-01|2026-07-03|7|50.7|28.53|9.13|354.9|SHIPPED|CARD|Chennai|TS|India
105|10369|5|2026-07-01|2026-07-03|2|285.57|47.67|51.4|571.14|SHIPPED|CASH|Chennai|TS|India
106|10399|31|2026-07-01|2026-07-03|9|299.37|2.18|53.89|2694.33|SHIPPED|UPI|Pune|TS|India
107|10365|5|2026-07-01|2026-07-03|5|386.29|17.24|69.53|1931.45|SHIPPED|CASH|Chennai|TS|India
108|10752|49|2026-07-01|2026-07-03|2|397.18|16.63|71.49|794.36|SHIPPED|CARD|Pune|TS|India
109|10658|12|2026-07-01|2026-07-03|9|202.35|41.52|36.42|1821.15|SHIPPED|CASH|Pune|TS|India
110|10830|9|2026-07-01|2026-07-03|8|334.28|3.16|60.17|2674.24|SHIPPED|UPI|Hyderabad|TS|India
111|10810|13|2026-07-01|2026-07-03|5|140.72|44.29|25.33|703.6|SHIPPED|UPI|Pune|TS|India
112|10834|35|2026-07-01|2026-07-03|9|229.2|23.67|41.26|2062.8|SHIPPED|CARD|Chennai|TS|India
113|10882|50|2026-07-01|2026-07-03|4|178.75|2.39|32.17|715.0|SHIPPED|CASH|Pune|TS|India
114|10376|28|2026-07-01|2026-07-03|5|106.01|44.47|19.08|530.05|SHIPPED|CASH|Pune|TS|India
115|10191|32|2026-07-01|2026-07-03|7|202.57|34.6|36.46|1417.99|SHIPPED|UPI|Chennai|TS|India
116|10744|28|2026-07-01|2026-07-03|5|410.52|3.95|73.89|2052.6|SHIPPED|CASH|Hyderabad|TS|India
117|10105|6|2026-07-01|2026-07-03|9|182.19|16.4|32.79|1639.71|SHIPPED|UPI|Pune|TS|India
118|10436|11|2026-07-01|2026-07-03|8|321.18|34.49|57.81|2569.44|SHIPPED|UPI|Pune|TS|India
119|10933|23|2026-07-01|2026-07-03|1|377.07|30.74|67.87|377.07|SHIPPED|UPI|Pune|TS|India
120|10652|26|2026-07-01|2026-07-03|1|83.77|18.17|15.08|83.77|SHIPPED|CASH|Chennai|TS|India
121|10146|39|2026-07-01|2026-07-03|3|478.76|33.9|86.18|1436.28|SHIPPED|UPI|Hyderabad|TS|India
122|10797|42|2026-07-01|2026-07-03|3|80.26|18.32|14.45|240.78|SHIPPED|UPI|Chennai|TS|India
123|10695|29|2026-07-01|2026-07-03|1|322.29|47.44|58.01|322.29|SHIPPED|UPI|Pune|TS|India
124|10542|24|2026-07-01|2026-07-03|2|308.26|19.9|55.49|616.52|SHIPPED|CASH|Pune|TS|India
125|10026|48|2026-07-01|2026-07-03|4|482.23|9.3|86.8|1928.92|SHIPPED|CASH|Pune|TS|India
126|10793|17|2026-07-01|2026-07-03|9|102.99|35.2|18.54|926.91|SHIPPED|CARD|Chennai|TS|India
127|10502|13|2026-07-01|2026-07-03|5|362.29|6.13|65.21|1811.45|SHIPPED|CARD|Pune|TS|India
128|10455|6|2026-07-01|2026-07-03|3|454.41|40.53|81.79|1363.23|SHIPPED|UPI|Chennai|TS|India
129|10563|35|2026-07-01|2026-07-03|6|369.29|14.52|66.47|2215.74|SHIPPED|UPI|Hyderabad|TS|India
130|10520|15|2026-07-01|2026-07-03|3|407.16|6.07|73.29|1221.48|SHIPPED|CARD|Hyderabad|TS|India
131|10026|24|2026-07-01|2026-07-03|4|405.67|27.7|73.02|1622.68|SHIPPED|UPI|Pune|TS|India
132|10905|6|2026-07-01|2026-07-03|9|108.4|3.29|19.51|975.6|SHIPPED|UPI|Chennai|TS|India
133|10787|27|2026-07-01|2026-07-03|8|286.56|41.17|51.58|2292.48|SHIPPED|CARD|Hyderabad|TS|India
134|10460|30|2026-07-01|2026-07-03|6|339.05|34.01|61.03|2034.3|SHIPPED|UPI|Hyderabad|TS|India
135|10186|50|2026-07-01|2026-07-03|9|337.91|48.31|60.82|3041.19|SHIPPED|UPI|Chennai|TS|India
136|10530|10|2026-07-01|2026-07-03|1|424.13|15.21|76.34|424.13|SHIPPED|CARD|Pune|TS|India
137|10963|34|2026-07-01|2026-07-03|4|205.71|44.75|37.03|822.84|SHIPPED|CARD|Pune|TS|India
138|10564|18|2026-07-01|2026-07-03|4|335.78|6.26|60.44|1343.12|SHIPPED|UPI|Chennai|TS|India
139|10656|11|2026-07-01|2026-07-03|9|92.04|29.59|16.57|828.36|SHIPPED|CASH|Hyderabad|TS|India
140|10737|39|2026-07-01|2026-07-03|3|346.43|16.88|62.36|1039.29|SHIPPED|CASH|Hyderabad|TS|India
141|10971|42|2026-07-01|2026-07-03|1|86.55|38.55|15.58|86.55|SHIPPED|UPI|Chennai|TS|India
142|10426|40|2026-07-01|2026-07-03|4|395.13|31.95|71.12|1580.52|SHIPPED|UPI|Chennai|TS|India
143|10979|20|2026-07-01|2026-07-03|9|180.35|24.15|32.46|1623.15|SHIPPED|CASH|Pune|TS|India
144|10705|4|2026-07-01|2026-07-03|5|254.09|7.9|45.74|1270.45|SHIPPED|UPI|Pune|TS|India
145|10621|10|2026-07-01|2026-07-03|8|141.81|15.63|25.53|1134.48|SHIPPED|CASH|Pune|TS|India
146|10133|49|2026-07-01|2026-07-03|6|488.92|18.53|88.01|2933.52|SHIPPED|CASH|Hyderabad|TS|India
147|10125|18|2026-07-01|2026-07-03|6|158.78|22.48|28.58|952.68|SHIPPED|CARD|Hyderabad|TS|India
148|10393|40|2026-07-01|2026-07-03|1|180.6|20.91|32.51|180.6|SHIPPED|CARD|Pune|TS|India
149|10194|49|2026-07-01|2026-07-03|10|374.51|7.97|67.41|3745.1|SHIPPED|CASH|Pune|TS|India
150|10509|2|2026-07-01|2026-07-03|8|445.58|4.5|80.2|3564.64|SHIPPED|UPI|Chennai|TS|India
151|10220|38|2026-07-01|2026-07-03|8|485.01|17.64|87.3|3880.08|SHIPPED|CARD|Pune|TS|India
152|10863|42|2026-07-01|2026-07-03|8|318.88|33.63|57.4|2551.04|SHIPPED|UPI|Chennai|TS|India
153|10441|9|2026-07-01|2026-07-03|1|431.23|44.12|77.62|431.23|SHIPPED|CASH|Pune|TS|India
154|10410|4|2026-07-01|2026-07-03|7|214.67|28.51|38.64|1502.69|SHIPPED|CARD|Pune|TS|India
155|10395|33|2026-07-01|2026-07-03|9|179.87|22.52|32.38|1618.83|SHIPPED|CASH|Pune|TS|India
156|10121|9|2026-07-01|2026-07-03|10|356.18|48.75|64.11|3561.8|SHIPPED|UPI|Pune|TS|India
157|10374|49|2026-07-01|2026-07-03|6|301.02|7.21|54.18|1806.12|SHIPPED|CASH|Chennai|TS|India
158|10046|3|2026-07-01|2026-07-03|7|275.04|6.85|49.51|1925.28|SHIPPED|UPI|Pune|TS|India
159|10620|33|2026-07-01|2026-07-03|9|255.64|6.99|46.02|2300.76|SHIPPED|CASH|Pune|TS|India
160|10631|48|2026-07-01|2026-07-03|3|226.83|42.13|40.83|680.49|SHIPPED|CASH|Pune|TS|India
161|10545|32|2026-07-01|2026-07-03|9|422.73|35.44|76.09|3804.57|SHIPPED|UPI|Pune|TS|India
162|10689|8|2026-07-01|2026-07-03|1|215.76|48.99|38.84|215.76|SHIPPED|CASH|Pune|TS|India
163|10271|42|2026-07-01|2026-07-03|1|318.61|39.15|57.35|318.61|SHIPPED|CASH|Chennai|TS|India
164|10597|31|2026-07-01|2026-07-03|4|374.63|8.53|67.43|1498.52|SHIPPED|CASH|Chennai|TS|India
165|10389|10|2026-07-01|2026-07-03|10|398.57|41.08|71.74|3985.7|SHIPPED|CARD|Hyderabad|TS|India
166|10112|13|2026-07-01|2026-07-03|10|476.69|0.95|85.8|4766.9|SHIPPED|UPI|Pune|TS|India
167|10208|27|2026-07-01|2026-07-03|3|235.83|25.09|42.45|707.49|SHIPPED|CASH|Pune|TS|India
168|10531|14|2026-07-01|2026-07-03|1|367.6|28.04|66.17|367.6|SHIPPED|CASH|Pune|TS|India
169|10979|12|2026-07-01|2026-07-03|9|219.57|22.98|39.52|1976.13|SHIPPED|CASH|Pune|TS|India
170|10790|47|2026-07-01|2026-07-03|9|209.43|34.04|37.7|1884.87|SHIPPED|CASH|Pune|TS|India
171|10980|16|2026-07-01|2026-07-03|10|267.88|13.95|48.22|2678.8|SHIPPED|UPI|Hyderabad|TS|India
172|10721|14|2026-07-01|2026-07-03|5|397.03|34.51|71.47|1985.15|SHIPPED|UPI|Pune|TS|India
173|10956|47|2026-07-01|2026-07-03|8|206.96|13.67|37.25|1655.68|SHIPPED|CARD|Chennai|TS|India
174|10404|23|2026-07-01|2026-07-03|9|220.86|47.73|39.75|1987.74|SHIPPED|CARD|Pune|TS|India
175|10731|6|2026-07-01|2026-07-03|1|179.43|17.32|32.3|179.43|SHIPPED|UPI|Chennai|TS|India
176|10219|13|2026-07-01|2026-07-03|5|386.3|41.4|69.53|1931.5|SHIPPED|UPI|Chennai|TS|India
177|10630|48|2026-07-01|2026-07-03|5|111.77|29.34|20.12|558.85|SHIPPED|CARD|Hyderabad|TS|India
178|10238|4|2026-07-01|2026-07-03|9|151.55|5.01|27.28|1363.95|SHIPPED|UPI|Chennai|TS|India
179|10789|9|2026-07-01|2026-07-03|8|95.25|0.26|17.14|762.0|SHIPPED|CASH|Hyderabad|TS|India
180|10901|31|2026-07-01|2026-07-03|7|343.8|23.87|61.88|2406.6|SHIPPED|CARD|Pune|TS|India
181|10060|50|2026-07-01|2026-07-03|6|178.44|4.47|32.12|1070.64|SHIPPED|CASH|Hyderabad|TS|India
182|10870|3|2026-07-01|2026-07-03|9|382.41|45.66|68.83|3441.69|SHIPPED|CARD|Pune|TS|India
183|10037|26|2026-07-01|2026-07-03|3|470.27|39.4|84.65|1410.81|SHIPPED|CARD|Chennai|TS|India
184|10009|20|2026-07-01|2026-07-03|5|444.53|28.4|80.02|2222.65|SHIPPED|CARD|Pune|TS|India
185|10656|35|2026-07-01|2026-07-03|5|254.46|26.22|45.8|1272.3|SHIPPED|CARD|Chennai|TS|India
186|10828|8|2026-07-01|2026-07-03|8|172.78|16.53|31.1|1382.24|SHIPPED|CASH|Pune|TS|India
187|10014|48|2026-07-01|2026-07-03|5|373.37|16.86|67.21|1866.85|SHIPPED|UPI|Chennai|TS|India
188|10876|41|2026-07-01|2026-07-03|4|128.97|44.85|23.21|515.88|SHIPPED|UPI|Chennai|TS|India
189|10685|7|2026-07-01|2026-07-03|6|89.03|9.24|16.03|534.18|SHIPPED|CARD|Pune|TS|India
190|10006|17|2026-07-01|2026-07-03|6|471.12|19.18|84.8|2826.72|SHIPPED|UPI|Pune|TS|India
191|10740|37|2026-07-01|2026-07-03|6|185.88|0.57|33.46|1115.28|SHIPPED|CASH|Pune|TS|India
192|10121|30|2026-07-01|2026-07-03|4|77.96|15.34|14.03|311.84|SHIPPED|UPI|Chennai|TS|India
193|10909|46|2026-07-01|2026-07-03|9|465.4|38.49|83.77|4188.6|SHIPPED|CASH|Hyderabad|TS|India
194|10226|15|2026-07-01|2026-07-03|5|215.39|47.87|38.77|1076.95|SHIPPED|UPI|Hyderabad|TS|India
195|10620|24|2026-07-01|2026-07-03|8|386.48|20.79|69.57|3091.84|SHIPPED|CASH|Pune|TS|India
196|10845|14|2026-07-01|2026-07-03|9|410.9|38.09|73.96|3698.1|SHIPPED|CASH|Chennai|TS|India
197|10540|46|2026-07-01|2026-07-03|2|286.48|18.09|51.57|572.96|SHIPPED|CASH|Hyderabad|TS|India
198|10924|33|2026-07-01|2026-07-03|1|422.95|10.11|76.13|422.95|SHIPPED|CASH|Hyderabad|TS|India
199|10532|29|2026-07-01|2026-07-03|3|197.65|5.81|35.58|592.95|SHIPPED|CARD|Chennai|TS|India
200|10920|33|2026-07-01|2026-07-03|10|269.97|22.27|48.59|2699.7|SHIPPED|CARD|Pune|TS|India
201|10467|37|2026-07-01|2026-07-03|3|280.96|2.89|50.57|842.88|SHIPPED|UPI|Chennai|TS|India
202|10405|17|2026-07-01|2026-07-03|5|375.48|40.82|67.59|1877.4|SHIPPED|CASH|Hyderabad|TS|India
203|10433|23|2026-07-01|2026-07-03|10|82.86|35.02|14.91|828.6|SHIPPED|CASH|Hyderabad|TS|India
204|10483|3|2026-07-01|2026-07-03|2|493.76|14.35|88.88|987.52|SHIPPED|CARD|Hyderabad|TS|India
205|10912|25|2026-07-01|2026-07-03|7|218.51|22.43|39.33|1529.57|SHIPPED|UPI|Pune|TS|India
206|10677|35|2026-07-01|2026-07-03|2|357.23|6.65|64.3|714.46|SHIPPED|UPI|Hyderabad|TS|India
207|10402|34|2026-07-01|2026-07-03|3|496.78|6.37|89.42|1490.34|SHIPPED|CARD|Hyderabad|TS|India
208|10474|44|2026-07-01|2026-07-03|1|490.32|35.95|88.26|490.32|SHIPPED|UPI|Chennai|TS|India
209|10253|30|2026-07-01|2026-07-03|7|420.51|17.31|75.69|2943.57|SHIPPED|UPI|Hyderabad|TS|India
210|10676|27|2026-07-01|2026-07-03|2|64.5|30.75|11.61|129.0|SHIPPED|CARD|Hyderabad|TS|India
211|10608|3|2026-07-01|2026-07-03|4|80.28|22.32|14.45|321.12|SHIPPED|CASH|Chennai|TS|India
212|10045|26|2026-07-01|2026-07-03|1|160.13|21.95|28.82|160.13|SHIPPED|CASH|Hyderabad|TS|India
213|10296|15|2026-07-01|2026-07-03|1|113.06|40.79|20.35|113.06|SHIPPED|CASH|Chennai|TS|India
214|10791|44|2026-07-01|2026-07-03|6|309.86|40.92|55.77|1859.16|SHIPPED|CARD|Pune|TS|India
215|10533|15|2026-07-01|2026-07-03|3|493.56|20.68|88.84|1480.68|SHIPPED|UPI|Hyderabad|TS|India
216|10900|48|2026-07-01|2026-07-03|9|476.83|45.58|85.83|4291.47|SHIPPED|CASH|Chennai|TS|India
217|10048|23|2026-07-01|2026-07-03|7|300.13|47.08|54.02|2100.91|SHIPPED|CASH|Pune|TS|India
218|10426|27|2026-07-01|2026-07-03|9|193.43|7.46|34.82|1740.87|SHIPPED|UPI|Hyderabad|TS|India
219|10869|15|2026-07-01|2026-07-03|9|263.08|15.04|47.35|2367.72|SHIPPED|CASH|Hyderabad|TS|India
220|10575|27|2026-07-01|2026-07-03|8|461.63|48.39|83.09|3693.04|SHIPPED|CASH|Chennai|TS|India
221|10261|14|2026-07-01|2026-07-03|3|224.79|16.51|40.46|674.37|SHIPPED|CARD|Pune|TS|India
222|10741|13|2026-07-01|2026-07-03|6|91.61|2.58|16.49|549.66|SHIPPED|UPI|Chennai|TS|India
223|10894|5|2026-07-01|2026-07-03|10|321.31|9.41|57.84|3213.1|SHIPPED|CASH|Chennai|TS|India
224|10213|22|2026-07-01|2026-07-03|9|147.66|15.16|26.58|1328.94|SHIPPED|CARD|Hyderabad|TS|India
225|10120|48|2026-07-01|2026-07-03|4|482.93|49.98|86.93|1931.72|SHIPPED|UPI|Hyderabad|TS|India
226|10406|16|2026-07-01|2026-07-03|10|366.7|27.6|66.01|3667.0|SHIPPED|UPI|Pune|TS|India
