PRODUCT_ID|STORE_ID|PRODUCT_NAME|CATEGORY|PRICE|DISCOUNT|STOCK|STATUS
17|101|Product_17|Clothing|2989.97|25|478|ACTIVE
17|102|Product_17|Electronics|2183.18|17|115|ACTIVE
18|101|Product_18|Clothing|830.05|8|423|ACTIVE
18|102|Product_18|Electronics|449.91|5|405|ACTIVE
19|101|Product_19|Grocery|3015.72|26|291|ACTIVE
19|102|Product_19|Grocery|2251.85|14|352|ACTIVE
20|101|Product_20|Grocery|3528.7|30|139|ACTIVE
20|102|Product_20|Clothing|2745.91|14|41|ACTIVE
21|101|Product_21|Clothing|295.32|13|376|ACTIVE
21|102|Product_21|Grocery|3058.2|0|46|ACTIVE
22|101|Product_22|Electronics|4813.36|26|440|ACTIVE
22|102|Product_22|Clothing|2976.9|0|391|ACTIVE
23|101|Product_23|Clothing|4124.96|18|20|ACTIVE
23|102|Product_23|Electronics|2405.45|20|226|ACTIVE
24|101|Product_24|Grocery|989.3|18|223|ACTIVE
24|102|Product_24|Clothing|4089.8|2|240|ACTIVE
25|101|Product_25|Grocery|2100.91|10|343|ACTIVE
25|102|Product_25|Electronics|4302.89|10|210|ACTIVE
26|101|Product_26|Clothing|2527.8|21|483|ACTIVE
26|102|Product_26|Grocery|4086.47|17|18|ACTIVE
27|101|Product_27|Grocery|531.49|8|165|ACTIVE
27|102|Product_27|Electronics|4853.91|12|442|ACTIVE
28|101|Product_28|Clothing|4142.14|0|336|ACTIVE
28|102|Product_28|Clothing|2363.68|1|96|ACTIVE
29|101|Product_29|Clothing|1872.72|24|255|ACTIVE
29|102|Product_29|Clothing|2266.0|1|104|ACTIVE
30|101|Product_30|Grocery|2791.18|29|147|ACTIVE
30|102|Product_30|Grocery|4416.15|15|62|ACTIVE
31|101|Product_31|Electronics|4868.42|19|409|ACTIVE
31|102|Product_31|Electronics|3577.94|9|282|ACTIVE
32|101|Product_32|Electronics|2806.03|2|115|ACTIVE
32|102|Product_32|Electronics|2361.09|3|331|ACTIVE
33|101|Product_33|Electronics|2542.04|22|149|ACTIVE
33|102|Product_33|Clothing|3556.52|13|427|ACTIVE
34|101|Product_34|Grocery|4903.2|7|233|ACTIVE
34|102|Product_34|Clothing|808.75|6|471|ACTIVE
35|101|Product_35|Clothing|2590.38|28|69|ACTIVE
35|102|Product_35|Electronics|1453.61|25|437|ACTIVE
36|101|Product_36|Grocery|1765.39|25|259|ACTIVE
36|102|Product_36|Grocery|4120.69|9|371|ACTIVE
37|101|Product_37|Grocery|4203.63|18|337|ACTIVE
37|102|Product_37|Grocery|4339.78|14|275|ACTIVE
38|101|Product_38|Grocery|1791.11|17|390|ACTIVE
38|102|Product_38|Clothing|1948.33|29|164|ACTIVE
39|101|Product_39|Electronics|4905.8|7|292|ACTIVE
39|102|Product_39|Grocery|1244.46|24|210|ACTIVE
40|101|Product_40|Electronics|1659.06|15|361|ACTIVE
40|102|Product_40|Grocery|1991.79|21|405|ACTIVE
41|101|Product_41|Clothing|4906.01|15|493|ACTIVE
41|102|Product_41|Electronics|718.61|30|302|ACTIVE
42|101|Product_42|Grocery|4361.53|27|432|ACTIVE
42|102|Product_42|Grocery|588.59|29|233|ACTIVE
43|101|Product_43|Electronics|3639.97|13|445|ACTIVE
43|102|Product_43|Clothing|4852.79|2|240|ACTIVE
44|101|Product_44|Grocery|1758.95|22|203|ACTIVE
44|102|Product_44|Clothing|493.55|10|436|ACTIVE
45|101|Product_45|Clothing|4310.78|12|488|ACTIVE
45|102|Product_45|Grocery|3171.32|28|388|ACTIVE
46|101|Product_46|Grocery|4374.68|1|316|ACTIVE
46|102|Product_46|Electronics|1250.37|21|471|ACTIVE
47|101|Product_47|Grocery|4987.39|23|46|ACTIVE
47|102|Product_47|Grocery|4893.85|24|324|ACTIVE
48|101|Product_48|Clothing|4375.64|14|85|ACTIVE
48|102|Product_48|Clothing|1567.38|0|23|ACTIVE
49|101|Product_49|Grocery|4001.1|9|183|ACTIVE
49|102|Product_49|Grocery|2210.37|7|271|ACTIVE
50|101|Product_50|Grocery|2873.05|25|92|ACTIVE
50|102|Product_50|Electronics|957.84|19|445|ACTIVE
